country,num_vaccines,2dose,1dose,vaccine_per_population,gdpPerCapita
Sierra Leone,7864500,15170,82145,1.0,518.4648
Singapore,-831983,1990940,2700446,1.0,66456.82
Sint Maarten,-9178,15851,20358,1.0,24695.1773
Slovakia,913515,1303959,1938210,1.0,21498.8094
Slovenia,89983,594862,799225,1.0,28004.1987
Solomon Islands,644099,0,17000,0.9624693176954278,2282.6834
Somalia,14247939,24816,135107,0.9081028833743497,509.8565
South Africa,52137418,479768,1661856,0.9232847665325267,6440.942
South Korea,29274536,4047846,13898955,1.0,33999.6818
South Sudan,9704033,2072,27338,0.8697293815135242,245.6645
Spain,-2596921,13939564,21472576,1.0,32026.3789
Sri Lanka,17345566,806252,2455180,1.0,4183.8723
Sudan,43135692,102653,508271,1.0,1845.66
Suriname,379908,31032,144662,1.0,6622.1697
Sweden,951583,2416335,4315017,1.0,56762.8353
Switzerland,-237564,2486866,3918450,1.0,84986.8063
Syria,17429138,0,71519,1.0,1212.7072
Taiwan,22275043,0,1541732,1.0,26564.4408
Tajikistan,9421341,13590,89121,1.0,803.9282
Thailand,60111714,2101086,5486092,1.0,7825.9378
Timor,1201193,6718,103813,1.0,2539.6745
Togo,7855029,76462,270784,1.0,723.2625
Tonga,74368,1349,28631,1.0,4795.8037
Trinidad and Tobago,1144358,39142,176849,1.0,16556.5155
Tunisia,9817714,417751,1165402,1.0,2944.9304
Turkey,27235559,14490130,28123248,1.0,9519.3901
Turkmenistan,5460013,9753,32240,0.9138763231848059,9326.5297
Turks and Caicos Islands,-14802,15410,22700,1.0,23388.4044
Tuvalu,7020,0,4772,1.0,4442.2094
Uganda,39658136,0,821659,0.88497835639798,713.444
Ukraine,35890993,360452,1726040,0.8766211246556693,3385.801
United Arab Emirates,-4622226,0,14512626,1.0,44953.0577
United Kingdom,-38141589,31449915,43127763,1.0,42914.5839
United States,-136631407,149667646,168298762,1.0,66678.0263
Uruguay,-1398110,1362473,2146891,1.0,18197.4899
Uzbekistan,29771222,1002919,1692139,1.0,1634.9124
Vanuatu,302010,0,5140,1.0,3160.9342
Venezuela,25827288,223858,1079134,0.9619564225459307,2442.2962
Vietnam,94794257,121683,2300960,1.0,2876.3915
Yemen,29574583,0,251385,1.0,1029.3323
Zambia,16648366,6215,142089,0.9139972375912997,1335.6834
Zimbabwe,13288526,435668,703065,1.0,1710.2907
